 Fid	WGSX	WGSY	RealId	PointCode	Elev	RegDate	Azimuth	CodeIdx	CompanyName	Diameter	Fix	Geo	Heading	Height	HoleDepth	InstrumentHeight	ManholeIdx	ModelName	Pitch	Roll	Code	Width	Images
1.72429E+21	35.137323	128.9105996	ararB05	OM	-3.11	2020-06-25T11:53:05.000Z	0			600	0	0	0	1900	6.5	0	9		0	0	3	1700	obs_images/gnseA/white.jpg
1.72429E+21	35.1373714	128.9096582	ararB05	OM	-3.23	2020-06-25T11:52:31.000Z	0			600	0	0	0	1700	6.5	0	8		0	0	3	1700	obs_images/gnseA/white.jpg
1.72429E+21	35.1387162	128.9084337	ararB05	OM	-2.88	2020-06-25T11:51:51.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1380654	128.9084553	ararB05	OM	-3.16	2020-06-25T11:51:19.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1374183	128.9085051	ararB05	OM	-4.94	2020-06-25T11:50:45.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1369177	128.908546	ararB05	OM	-5	2020-06-25T11:50:09.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1365388	128.9085765	ararB05	OM	-5.02	2020-06-25T11:49:20.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1359837	128.9086206	ararB05	OM	-5.06	2020-06-25T11:48:38.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1341602	128.9087651	ararB05	OM	-5.34	2020-06-25T11:48:03.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1341433	128.9084537	ararB05	OM	-5.4	2020-06-25T11:47:32.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.13959739	128.9196265	ararB05	OM	0	2020-08-24T04:10:14.000Z	0			600	0	0	0	0	6.52	0	6		0	0	2	1300	obs_images/gnseA/200821-15-2.png
1.72429E+21	35.13912545	128.9192878	ararB05	OM	0	2020-08-24T03:10:28.000Z	0			600	4	0	0	0	3.1	0	6		0	0	2	1300	obs_images/gnseA/200821-01-1.jpg|obs_images/gnseA/200821-01-2.jpg
1.72429E+21	35.1401217	128.9076908	ararB05	OM	1.48	2020-06-25T12:50:20.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.14014724	128.9072534	ararB03	OM	2.08	2020-06-25T12:49:48.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
1.72429E+21	35.1380514	128.9081438	ararB03	OM	-3.35	2020-06-25T12:04:41.000Z	0			600	0	0	0	0	6.5	0	6		0	0	2	1300	obs_images/gnseA/white.jpg
