 RealId,Fid,WGSX,WGSY,PointCode,Diameter,Elev,RegDate,Depth,PipeType,Material,InstrumentHeight,SmartModel,PipeModel,Images
gnseA10,1724291537101605585709,35.137276190000,128.910535800000,OL,500,0,2020-11-16T04:01:49.000Z,-2.22,3,15,0,42,44,gnseA/20201116_114405.jpg|gnseA/20201116_114400.jpg
gnseA10,1724291537101605585659,35.137275170000,128.910559900000,OL,500,0,2020-11-16T04:00:59.000Z,-2.24,3,15,0,42,44,gnseA/20201116_114334.jpg|gnseA/20201116_114329.jpg
gnseA10,1724291537101605585641,35.137273860000,128.910587300000,OL,500,0,2020-11-16T04:00:41.000Z,-2.25,3,15,0,42,44,gnseA/20201116_114302.jpg|gnseA/20201116_114257.jpg
gnseA10,1724291537101605585624,35.137272640000,128.910614800000,OL,500,0,2020-11-16T04:00:24.000Z,-2.27,3,15,0,42,44,gnseA/20201116_114232.jpg|gnseA/20201116_114227.jpg
gnseA10,1724291537101605585607,35.137271170000,128.910642100000,OL,500,0,2020-11-16T04:00:07.000Z,-2.26,3,15,0,42,44,gnseA/20201116_114201.jpg|gnseA/20201116_114157.jpg
gnseA10,1724291537101605585588,35.137269980000,128.910669600000,OL,500,0,2020-11-16T03:59:48.000Z,-2.27,3,15,0,42,44,gnseA/20201116_114132.jpg|gnseA/20201116_114127.jpg
gnseA10,1724291537101605585569,35.137268490000,128.910696800000,OL,500,0,2020-11-16T03:59:29.000Z,-2.29,3,15,0,42,44,gnseA/20201116_114103.jpg|gnseA/20201116_114059.jpg
gnseA10,1724291537101605585547,35.137267000000,128.910724200000,OL,500,0,2020-11-16T03:59:07.000Z,-2.33,3,15,0,42,44,gnseA/20201116_114032.jpg|gnseA/20201116_114028.jpg
gnseA10,1724291537101605585527,35.137265260000,128.910751700000,OL,500,0,2020-11-16T03:58:47.000Z,-2.34,3,15,0,42,44,gnseA/20201116_114006.jpg|gnseA/20201116_114001.jpg
gnseA10,1724291537101605585511,35.137263570000,128.910779000000,OL,500,0,2020-11-16T03:58:31.000Z,-2.36,3,15,0,42,44,gnseA/20201116_113935.jpg|gnseA/20201116_113930.jpg
gnseA10,1724291537101605585491,35.137261760000,128.910806500000,OL,500,0,2020-11-16T03:58:11.000Z,-2.37,3,15,0,42,44,gnseA/20201116_113904.jpg|gnseA/20201116_113858.jpg
gnseA10,1724291537101605585469,35.137260470000,128.910834000000,OL,500,0,2020-11-16T03:57:49.000Z,-2.38,3,15,0,42,44,gnseA/20201116_113835.jpg|gnseA/20201116_113829.jpg
gnseA10,1724291537101605585447,35.137258830000,128.910861200000,OL,500,0,2020-11-16T03:57:27.000Z,-2.39,3,15,0,42,44,gnseA/20201116_113802.jpg|gnseA/20201116_113757.jpg
gnseA10,1724291537101605585427,35.137257370000,128.910888700000,OL,500,0,2020-11-16T03:57:07.000Z,-2.39,3,15,0,42,44,gnseA/20201116_113731.jpg|gnseA/20201116_113725.jpg
gnseA10,1724291537101605584950,35.137255810000,128.910916300000,OL,500,0,2020-11-16T03:49:10.000Z,-2.43,3,15,0,42,44,gnseA/20201116_113658.jpg|gnseA/20201116_113652.jpg
gnseA10,1724291537101605584928,35.137254060000,128.910943500000,OL,500,0,2020-11-16T03:48:48.000Z,-2.43,3,15,0,42,44,gnseA/20201116_113626.jpg|gnseA/20201116_113620.jpg
gnseA10,1724291537101605584906,35.137252520000,128.910971100000,OL,500,0,2020-11-16T03:48:26.000Z,-2.43,3,15,0,42,44,gnseA/20201116_113555.jpg|gnseA/20201116_113549.jpg
gnseA10,1724291537101605584884,35.137250980000,128.910998400000,OL,500,0,2020-11-16T03:48:04.000Z,-2.45,3,15,0,42,44,gnseA/20201116_113522.jpg|gnseA/20201116_113516.jpg
gnseA10,1724291537101605584857,35.137249360000,128.911025800000,OL,500,0,2020-11-16T03:47:37.000Z,-2.45,3,15,0,42,44,gnseA/20201116_113451.jpg|gnseA/20201116_113444.jpg
gnseA10,1724291537101605584836,35.137248020000,128.911053300000,OL,500,0,2020-11-16T03:47:16.000Z,-2.48,3,15,0,42,44,gnseA/20201116_113416.jpg|gnseA/20201116_113410.jpg
gnseA10,1724291537101605584814,35.137246570000,128.911080600000,OL,500,0,2020-11-16T03:46:54.000Z,-2.46,3,15,0,42,44,gnseA/20201116_113339.jpg|gnseA/20201116_113332.jpg
gnseA10,1724291537101605584792,35.137245170000,128.911108000000,OL,500,0,2020-11-16T03:46:32.000Z,-2.46,3,15,0,42,44,gnseA/20201116_113306.jpg|gnseA/20201116_113302.jpg
gnseA10,1724291537101605584767,35.137243590000,128.911135400000,OL,500,0,2020-11-16T03:46:07.000Z,-2.5,3,15,0,42,44,gnseA/20201116_113232.jpg|gnseA/20201116_113226.jpg
gnseA10,1724291537101605584737,35.137241970000,128.911162700000,OL,500,0,2020-11-16T03:45:37.000Z,-2.5,3,15,0,42,44,gnseA/20201116_113157.jpg|gnseA/20201116_113152.jpg
gnseA10,1724291537101605584714,35.137240350000,128.911190100000,OL,500,0,2020-11-16T03:45:14.000Z,-2.49,3,15,0,42,44,gnseA/20201116_113127.jpg|gnseA/20201116_113121.jpg
gnseA10,1724291537101605584695,35.137238660000,128.911217400000,OL,500,0,2020-11-16T03:44:55.000Z,-2.49,3,15,0,42,44,gnseA/20201116_113057.jpg|gnseA/20201116_113052.jpg
gnseA10,1724291537101605584676,35.137237150000,128.911244900000,OL,500,0,2020-11-16T03:44:36.000Z,-2.51,3,15,0,42,44,gnseA/20201116_113024.jpg|gnseA/20201116_113020.jpg
gnseA10,1724291537101605584653,35.137235340000,128.911272300000,OL,500,0,2020-11-16T03:44:13.000Z,-2.52,3,15,0,0,44,gnseA/20201116_112951.jpg|gnseA/20201116_112946.jpg
gnseA10,1724291537101605584625,35.137233640000,128.911299700000,OL,500,0,2020-11-16T03:43:45.000Z,-2.55,3,15,0,42,44,gnseA/20201116_112843.jpg|gnseA/20201116_112838.jpg
gnseA10,1724291537101605584604,35.137232000000,128.911327200000,OL,500,0,2020-11-16T03:43:24.000Z,-2.56,3,15,0,42,44,gnseA/20201116_112806.jpg|gnseA/20201116_112801.jpg
gnseA10,1724291537101605584563,35.137231620000,128.911337900000,OL,500,0,2020-11-16T03:42:43.000Z,-2.59,3,15,0,42,44,gnseA/20201116_112731.jpg|gnseA/20201116_112726.jpg
gnseA10,1724291537101605057555,35.139743300000,128.905583300000,OL,500,0,2020-11-09T09:29:50.000Z,-2.12,3,15,0,42,44,gnseA/201109-118-1.JPG|gnseA/201109-118-2.JPG
gnseA10,1724291537101605057510,35.139741730000,128.905607650000,OL,500,0,2020-11-09T09:29:20.000Z,-2.17,3,15,0,42,44,gnseA/201109-117-1.JPG|gnseA/201109-117-2.JPG
gnseA10,1724291537101605057476,35.139740410000,128.905635130000,OL,500,0,2020-11-09T09:29:10.000Z,-2.18,3,15,0,42,44,gnseA/201109-116-1.JPG|gnseA/201109-116-2.JPG
gnseA10,1724291537101605057437,35.139738620000,128.905662570000,OL,500,0,2020-11-09T09:29:00.000Z,-2.18,3,15,0,42,44,gnseA/201109-115-1.JPG|gnseA/201109-115-2.JPG
gnseA10,1724291537101605057382,35.139737010000,128.905690050000,OL,500,0,2020-11-09T09:28:50.000Z,-2.2,3,15,0,42,44,gnseA/201109-114-1.JPG|gnseA/201109-114-2.JPG
gnseA10,1724291537101605057345,35.139735650000,128.905717550000,OL,500,0,2020-11-09T09:28:40.000Z,-2.2,3,15,0,42,44,gnseA/201109-113-1.JPG|gnseA/201109-113-2.JPG
gnseA10,1724291537101605057305,35.139734120000,128.905745210000,OL,500,0,2020-11-09T09:28:30.000Z,-2.2,3,15,0,42,44,gnseA/201109-112-1.JPG|gnseA/201109-112-2.JPG
gnseA10,1724291537101605057265,35.139732460000,128.905772600000,OL,500,0,2020-11-09T09:28:20.000Z,-2.24,3,15,0,42,44,gnseA/201109-111-1.JPG|gnseA/201109-111-2.JPG
gnseA10,1724291537101605057227,35.139730940000,128.905799920000,OL,500,0,2020-11-09T09:28:10.000Z,-2.23,3,15,0,42,44,gnseA/201109-110-1.JPG|gnseA/201109-110-2.JPG
gnseA10,1724291537101605057178,35.139729420000,128.905827300000,OL,500,0,2020-11-09T09:28:00.000Z,-2.23,3,15,0,42,44,gnseA/201109-109-1.JPG|gnseA/201109-109-2.JPG
gnseA10,1724291537101605057127,35.139727850000,128.905854860000,OL,500,0,2020-11-09T09:27:50.000Z,-2.24,3,15,0,42,44,gnseA/201109-108-1.JPG|gnseA/201109-108-2.JPG
gnseA10,1724291537101605057089,35.139726630000,128.905882060000,OL,500,0,2020-11-09T09:27:40.000Z,-2.25,3,15,0,42,44,gnseA/201109-107-1.JPG|gnseA/201109-107-2.JPG
gnseA10,1724291537101605057048,35.139724960000,128.905909590000,OL,500,0,2020-11-09T09:27:30.000Z,-2.25,3,15,0,42,44,gnseA/201109-106-1.JPG|gnseA/201109-106-2.JPG
gnseA10,1724291537101605057008,35.139723660000,128.905936780000,OL,500,0,2020-11-09T09:27:20.000Z,-2.24,3,15,0,42,44,gnseA/201109-105-1.JPG|gnseA/201109-105-2.JPG
gnseA10,1724291537101605056947,35.139722220000,128.905964320000,OL,500,0,2020-11-09T09:27:10.000Z,-2.25,3,15,0,42,44,gnseA/201109-104-1.JPG|gnseA/201109-104-2.JPG
gnseA10,1724291537101605056899,35.139720600000,128.905991730000,OL,500,0,2020-11-09T09:27:00.000Z,-2.26,3,15,0,42,44,gnseA/201109-103-1.JPG|gnseA/201109-103-2.JPG
