id,no,X,Y,Z,size,height,diameter
517,MH1-S2-258-2,128.9097669,35.13386852,0.64,1300mm,2.74m,200
518,MH1-S2-259-1,128.9091394,35.1339039,0.48,1300mm,2.66m,200
519,MH1-S2-260-1,128.9091206,35.13413536,-1.62,1300mm,4.78m,200
429,MH2-S2-126-2,128.9163759,35.14101543,0,1700mm,7.16m,800
430,MH2-S2-126-3,128.915762,35.14121041,-4.06,1700mm,7.07m,800
431,MH2-S2-126-4,128.9151338,35.14137209,-4.08,1700mm,7.27m,800
432,MH2-S2-126-5,128.9144941,35.14149977,-4.1,1700mm,7.50m,800
521,PUMP1,128.9194089,35.1381036,1.7,1800mm,3.89m,80
456,PUMP2,128.9148364,35.13568754,3.6,1800mm,4.35m,100
216,SM2-S1-120-1,128.9124842,35.14135376,-4.3,1700mm_1700mm,8.27m,900
228,SM2-S1-125-2,128.912884,35.13960992,-4.39,1700mm_1700mm,8.56m,900
276,SM2-S1-146-1,128.9088193,35.14327694,-2.18,1700mm_1700mm,5.71m,600
303,SM2-S1-162-2,128.9085445,35.13691789,-4.86,1700mm_1700mm,8.32m,1000
304,SM2-S1-162-3,128.9085747,35.13653827,-4.89,1700mm_1700mm,8.27m,1000
306,SM2-S1-163-2,128.9086908,35.13508278,-5.02,1700mm_1700mm,8.26m,1000
307,SM2-S1-164-1,128.9087644,35.13415995,-5.11,1700mm_1700mm,8.30m,1000
332,SM2-S1-174-2,128.9085245,35.13323792,-5.25,1700mm_1700mm,8.36m,1000
334,SM2-S1-175-2,128.9086356,35.13184444,-5.43,1700mm_1700mm,11.46m,1000
335,SM2-S1-175-3,128.9083948,35.13183147,-5.46,1700mm_1700mm,11.63m,1000
215,SM3-S1-119-1,128.9122066,35.14170822,-4.28,1700mm_1900mm,8.05m,900
220,SM3-S1-122-1,128.912958,35.14074895,-4.33,1700mm_1900mm,7.68m,900
227,SM3-S1-125-1,128.9134732,35.14009121,-4.36,1700mm_1900mm,8.01m,900
236,SM3-S1-129-1,128.9123744,35.13919362,-4.41,1700mm_1900mm,9.00m,900
242,SM3-S1-132-1,128.9128833,35.1387732,-4.47,1700mm_1900mm,8.88m,900
247,SM3-S1-135-1,128.9120742,35.1381122,-4.52,1700mm_1900mm,9.34m,900
248,SM3-S1-135-2,128.911721,35.13782011,-4.54,1700mm_1900mm,9.18m,900
293,SM3-S1-158-3,128.9113438,35.13728057,-4.57,1700mm_1900mm,8.87m,900
300,SM3-S1-160-1,128.910598,35.13732263,-4.61,1700mm_1900mm,8.53m,900
301,SM3-S1-161-1,128.9096576,35.13737567,-4.66,1700mm_1900mm,8.19m,900
302,SM3-S1-162-1,128.9085028,35.13744077,-4.82,1700mm_1900mm,7.95m,1000
305,SM3-S1-163-1,128.9086193,35.1359796,-4.94,1700mm_1900mm,8.06m,1000
331,SM3-S1-174-1,128.9084523,35.13414315,-5.14,1700mm_1900mm,8.30m,1000
333,SM3-S1-175-1,128.9085995,35.13229785,-5.37,1700mm_1900mm,10.06m,1000
428,SMH2-S2-126-1,128.9169884,35.14078164,0,1700mm_1700mm,7.13m,800
433,SMH2-S2-130-01,128.9138382,35.14159378,-4.12,1700mm_1700mm,7.79m,800
