startno,startX,startY,startZ,valve,stopno,stopX,stopY,stopZ,valve,diameter,,,,,
1-034,128.9128772,35.14083542,2.195,1,1-035,128.9133934,35.14017651,1.875,0,250,,,,,
1-035,128.9133933,35.14017651,1.875,0,1-037,128.9143722,35.13892685,2.365,1,250,,,,,
1-037,128.9143722,35.13892684,2.39,2,1-038,128.9153849,35.13763388,2.89,0,200,,,,,
1-038-1,128.916527,35.13644709,3.073,0,1-038-2,128.9162915,35.13662945,3.081,0,100,,,,,
1-038-2,128.9162915,35.13662944,3.081,0,1-038-3,128.9159534,35.13694171,3.094,0,100,,,,,
1-038-3,128.9159534,35.1369417,3.094,0,1-038-4,128.915427,35.13760504,3.118,0,100,,,,,
1-038-4,128.915427,35.13760504,3.118,0,1-038,128.9153849,35.13763388,3.12,0,100,,,,,
1-039,128.9148818,35.1372757,3.14,1,1-089,128.9136235,35.13831524,2.85,1,100,,,,,
1-039,128.9148818,35.1372757,3.09,1,1-038,128.9153849,35.13763388,2.89,0,200,,,,,
1-039-1,128.9142124,35.13660938,2.985,0,1-039,128.9148818,35.13727571,3.115,2,150,,,,,
1-040,128.9137214,35.13584536,2.855,1,1-040-1,128.9142124,35.13660939,2.985,0,150,,,,,
1-041,128.9136676,35.13573094,2.755,0,1-040,128.9137215,35.13584536,2.855,2,150,,,,,
1-042,128.9086394,35.13596942,1.915,0,2-037,128.9101108,35.13588644,2.325,0,150,,,,,
1-043,128.9086263,35.13613278,1.915,1,1-042,128.9086394,35.13596943,1.915,0,150,,,,,
1-043,128.9086263,35.13613278,1.89,1,1-106,128.9093861,35.13608994,2.1,1,200,,,,,
1-044,128.9085214,35.13744875,1.935,2,1-043,128.9086263,35.13613279,1.855,1,250,,,,,
1-044,128.9085214,35.13744875,2.035,1,1-097,128.9095273,35.13739203,1.865,1,150,,,,,
1-045,128.9084509,35.13873757,1.995,1,1-045-1,128.9084719,35.13809257,1.965,0,250,,,,,
1-045,128.9084509,35.13873757,2.045,1,1-096,128.9102269,35.13863743,2.165,1,150,,,,,
1-045-1,128.9084719,35.13809256,1.965,0,1-044,128.9085214,35.13744876,1.935,0,250,,,,,
1-046,128.9085224,35.14008444,2.06,2,1-046-1,128.9084696,35.139411,2.015,0,300,,,,,
1-046-1,128.9084696,35.13941099,2.015,0,1-045,128.908451,35.13873758,1.97,4,300,,,,,
1-047,128.9097692,35.15993546,0,1,1-048,128.9068455,35.16010027,0,0,150,,,,,
1-047,128.9097692,35.15993546,0,1,1-052,128.9095395,35.15718811,0,2,150,,,,,
1-047,128.9097692,35.15993546,0,2,1-002,128.9102378,35.15988194,0,1,200,,,,,
1-048,128.9068455,35.16010027,0,0,1-049,128.9068024,35.1595836,0,1,150,,,,,
1-049,128.9068023,35.15958359,0,1,1-109,128.9062987,35.15961198,0,0,100,,,,,
1-049,128.9068023,35.15958359,0,2,1-050,128.906616,35.15735292,0,1,150,,,,,
1-050,128.9066159,35.15735291,0,2,1-053,128.9065072,35.15605149,0,0,100,,,,,
1-050,128.9066159,35.15735291,0,1,1-051,128.9091891,35.15720787,0,0,150,,,,,
1-051,128.9091891,35.15720786,0,0,1-052,128.9095395,35.15718811,0,1,150,,,,,
1-051,128.9091891,35.15720786,0,1,1-056,128.9089535,35.15438919,0,1,100,,,,,
1-052,128.9095395,35.1571881,0,1,1-057,128.9093039,35.15436944,0,2,150,,,,,
1-053,128.9065072,35.15605149,0,0,1-054,128.9064756,35.1556738,0,0,100,,,,,
1-054,128.9064756,35.1556738,0,2,1-055,128.9063804,35.15453424,0,1,100,,,,,
1-055,128.9063804,35.15453423,0,2,1-058,128.9062103,35.1524979,0,1,100,,,,,
1-055,128.9063804,35.15453423,0,1,1-056,128.9089535,35.15438919,0,0,150,,,,,
1-056,128.9089534,35.15438919,0,0,1-057,128.9093039,35.15436944,0,1,150,,,,,
1-057,128.9093038,35.15436943,0,1,1-060,128.9090683,35.15155076,0,2,200,,,,,
1-058,128.9062103,35.1524979,0,2,1-059,128.9061449,35.15171555,0,0,150,,,,,
1-059,128.9061449,35.15171554,0,1,1-060,128.9090683,35.15155076,0,1,150,,,,,
1-059,128.9061449,35.15171554,0,2,1-061,128.9060732,35.15085727,0,0,150,,,,,
1-060,128.9090682,35.15155075,0,1,1-064,128.9088227,35.14861293,0,1,200,,,,,
1-060,128.9090682,35.15155075,0,1,1-006,128.9095402,35.1515377,0,1,200,,,,,
1-061,128.9060732,35.15085727,0,0,1-062,128.9059739,35.14966802,0,1,150,,,,,
1-062,128.9059738,35.14966801,0,1,1-063,128.9058995,35.14877771,0,0,200,,,,,
1-063,128.9058994,35.14877771,0,0,1-064,128.9088227,35.14861293,0,1,200,,,,,
1-064,128.9088227,35.14861292,0,0,1-078,128.9088892,35.14842171,0,3,200,,,,,
1-065,128.911204,35.15696549,0,2,1-071,128.9131755,35.1568543,0,1,200,,,,,
1-065,128.911204,35.15696549,0,1,1-066,128.9111764,35.15663503,0,0,150,,,,,
1-066,128.9111764,35.15663502,0,0,1-069,128.9110032,35.15456272,0,0,150,,,,,
1-067,128.9103224,35.15668319,0,0,1-066,128.9111764,35.15663503,0,1,150,,,,,
1-067,128.9103224,35.15668319,0,0,1-068,128.9101491,35.15461089,0,0,150,,,,,
1-068,128.9101491,35.15461088,0,0,1-069,128.9110032,35.15456272,0,1,150,,,,,
1-069,128.9110031,35.15456272,0,0,1-070,128.9109783,35.15426598,0,1,150,,,,,
1-070,128.9109783,35.15426598,0,2,1-073,128.9127727,35.15416476,0,1,200,,,,,
1-071,128.9131754,35.1568543,0,2,1-072,128.9133323,35.15684546,0,0,200,,,,,
1-071-1,128.9132378,35.15704132,0,0,1-071,128.9131755,35.1568543,0,1,200,,,,,
1-071-2,128.9135511,35.15784263,0,0,1-071-1,128.9132379,35.15704133,0,0,200,,,,,
1-071-3,128.9137207,35.15828819,0,0,1-071-2,128.9135511,35.15784263,0,0,200,,,,,
1-071-4,128.9138444,35.1587438,0,0,1-071-3,128.9137207,35.1582882,0,0,200,,,,,
1-071-5,128.9139216,35.15920629,0,0,1-071-4,128.9138445,35.15874381,0,0,200,,,,,
1-072,128.9133322,35.15684545,0,0,1-072-1,128.9137265,35.15682321,0,0,200,,,,,
1-072-1,128.9137265,35.1568232,0,0,1-072-2,128.9138737,35.1568076,0,0,200,,,,,
1-073,128.9127727,35.15416475,0,1,1-073-1,128.9127624,35.15460768,0,0,100,,,,,
1-073,128.9127727,35.15416475,0,2,1-074,128.9129268,35.15415607,0,0,200,,,,,
1-073-1,128.9127623,35.15460767,0,0,1-073-2,128.9127835,35.15505035,0,0,100,,,,,
1-073-2,128.9127834,35.15505035,0,0,1-073-3,128.9128359,35.15549124,0,0,100,,,,,
1-073-3,128.9128359,35.15549123,0,0,1-073-4,128.9129195,35.15592888,0,0,100,,,,,
1-073-4,128.9129195,35.15592887,0,0,1-071,128.9131755,35.1568543,0,1,100,,,,,
1-074,128.9129268,35.15415606,0,0,1-074-1,128.9137142,35.15411165,0,0,200,,,,,
1-075,128.9135755,35.15131008,0,0,1-075-1,128.9142119,35.15127418,0,0,200,,,,,
1-076,128.9124101,35.14841059,0,0,1-076-1,128.9140411,35.14831859,0,0,250,,,,,
1-077,128.9123948,35.14822398,0,0,1-077-1,128.9140482,35.14813071,0,0,500,,,,,
1-078,128.9088892,35.14842171,0,0,1-021,128.908887,35.14839473,0,0,500,,,,,
1-078,128.9088892,35.14842171,0,0,1-008,128.9092779,35.14839979,0,0,500,,,,,
1-079,128.9103789,35.1467672,0,2,1-012,128.9121112,35.1466695,0,1,100,,,,,
1-080,128.9096022,35.14504207,2.935,2,1-082,128.9107189,35.1449791,3.145,0,150,,,,,
1-081,128.9094509,35.14323231,2.375,0,1-080,128.9096022,35.14504208,2.935,1,150,,,,,
1-082,128.9107189,35.14497909,3.145,2,1-013,128.911964,35.14490887,2.545,1,150,,,,,
1-082,128.9107189,35.14497909,3.17,1,1-083,128.9105676,35.14316935,3.02,0,100,,,,,
1-083,128.9105676,35.14316934,3.02,0,1-014,128.9118126,35.14309911,2.72,1,100,,,,,
1-084,128.9126007,35.14142168,2.44,0,1-032,128.9124096,35.14143248,2.37,0,400,,,,,
1-084-1,128.9135248,35.14136212,2.19,0,1-084,128.9126008,35.14142169,2.44,0,400,,,,,
1-085,128.9105856,35.1407532,3.08,0,1-085-1,128.9105475,35.14068464,3.094,0,100,,,,,
1-085-1,128.9105474,35.14068463,3.094,0,1-091,128.9097655,35.14004579,3.29,1,100,,,,,
1-086,128.9117184,35.13988884,2.98,1,1-086-1,128.9107625,35.14067855,3.066,0,100,,,,,
1-086,128.9117184,35.13988884,2.93,2,1-034,128.9128773,35.14083543,2.22,1,200,,,,,
1-086-1,128.9107624,35.14067854,3.066,0,1-085,128.9105856,35.14075321,3.08,1,100,,,,,
1-087,128.9123762,35.13934558,3.35,0,1-086,128.9117185,35.13988885,2.98,1,100,,,,,
1-087,128.9123762,35.13934558,3.35,1,1-035,128.9133934,35.14017651,1.95,1,100,,,,,
1-089,128.9136234,35.13831524,2.85,1,1-087,128.9123762,35.13934558,3.35,0,100,,,,,
1-089,128.9136234,35.13831524,2.825,0,1-037,128.9143722,35.13892685,2.425,1,150,,,,,
1-091,128.9097654,35.14004578,3.24,0,1-091-1,128.9096788,35.14001923,3.159,0,200,,,,,
1-091-1,128.9096788,35.14001922,3.159,0,1-046,128.9085224,35.14008444,2.11,1,200,,,,,
1-092,128.9108237,35.13915793,3.09,2,1-092-1,128.9099092,35.13991333,3.217,0,200,,,,,
1-092,128.9108237,35.13915793,3.09,1,1-086,128.9117185,35.13988885,2.93,0,200,,,,,
1-092-1,128.9099092,35.13991332,3.217,0,1-091,128.9097655,35.14004579,3.24,2,200,,,,,
1-093,128.9115808,35.13853254,3.35,1,1-092,128.9108237,35.13915793,3.09,0,200,,,,,
1-095,128.9127286,35.13758433,3.025,1,1-093,128.9115808,35.13853254,3.425,2,150,,,,,
1-095,128.9127286,35.13758433,2.975,2,1-089,128.9136235,35.13831524,2.825,0,150,,,,,
1-096,128.9102269,35.13863742,2.14,2,1-092,128.9108237,35.13915793,3.09,1,200,,,,,
1-097,128.9095272,35.13739202,1.79,0,1-097-1,128.9097892,35.13804804,1.965,0,200,,,,,
1-097,128.9095272,35.13739202,1.865,1,1-098,128.910612,35.13733085,2.585,0,150,,,,,
1-097-1,128.9097892,35.13804803,1.965,0,1-096,128.9102269,35.13863743,2.14,0,200,,,,,
1-098,128.910612,35.13733085,2.585,1,1-098-1,128.9109843,35.13799537,3.005,0,150,,,,,
1-098,128.910612,35.13733085,2.585,2,1-100,128.9124482,35.13722726,2.875,1,150,,,,,
1-098-1,128.9109843,35.13799536,3.005,0,1-093,128.9115808,35.13853254,3.425,1,150,,,,,
1-100,128.9124482,35.13722725,2.825,2,1-100-1,128.9124744,35.13733937,2.863,0,150,,,,,
1-100-1,128.9124744,35.13733937,2.863,0,1-100-2,128.9125481,35.1374364,2.9,0,150,,,,,
1-100-2,128.9125481,35.13743639,2.9,0,1-095,128.9127287,35.13758433,2.975,0,150,,,,,
1-101,128.9123693,35.13628305,2.475,2,1-100,128.9124482,35.13722726,2.825,0,150,,,,,
1-103,128.9123392,35.13592336,2.305,1,1-101,128.9123693,35.13628305,2.475,0,150,,,,,
1-103,128.9123392,35.13592336,2.305,2,1-040,128.9137215,35.13584536,2.845,1,150,,,,,
1-105,128.9094161,35.13644964,2.14,0,1-105-1,128.9094556,35.13692175,1.965,0,200,,,,,
