startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
BM41,128.9153825,35.13774512,0.72,BM40,128.9144634,35.1389187,0.66,3000_1800,,,,
BM4-1,128.9161383,35.1596134,0,BM2,128.9178611,35.15937389,0,2000_1800,,,,
BM42,128.9090164,35.14678531,0,BM421,128.9090296,35.14694276,0,1500_1800,,,,
BM421,128.9090296,35.14694276,0,BM421_1,128.9091535,35.14842503,0,1500_1800,,,,
BM421_1,128.9091535,35.14842503,0,BM421_2,128.9091376,35.14843998,0,1500_1800,,,,
BM421_2,128.9091376,35.14843998,0,BM421_3,128.9091241,35.14845272,0,1500_1800,,,,
BM43,128.9087906,35.14671508,0,BM43_1,128.9089317,35.14840401,0,2000_1800,,,,
BM43_1,128.9089317,35.14840401,0,BM43_2,128.9089086,35.14842575,0,2000_1800,,,,
BM43_2,128.9089086,35.14842575,0,BM43_3,128.9088915,35.14844189,0,2000_1800,,,,
BM44,128.905873,35.14964659,0,BM44_1,128.9058008,35.1487822,0,1500_1800,,,,
BM44_1,128.9058008,35.1487822,0,BM44_2,128.9057826,35.14876917,0,1500_1800,,,,
BM44_2,128.9057826,35.14876917,0,BM44_3,128.9057671,35.14875806,0,1500_1800,,,,
BM45,128.9089352,35.1484462,0,BM463,128.9072273,35.1485425,0,3500_1800,,,,
BM451,128.9089181,35.14850499,0,BM461,128.9072787,35.14863175,0,3500_1800,,,,
BM451,128.9089181,35.14850499,0,BM462,128.907252,35.14857543,0,3500_1800,,,,
BM452,128.908902,35.14857457,0,BM46,128.9073035,35.14866469,0,3500_1800,,,,
BM46,128.9073035,35.14866468,0,BM75,128.9055791,35.14876188,0,3500_1800,,,,
BM461,128.9072787,35.14863175,0,BM751,128.9055544,35.14872894,0,3500_1800,,,,
BM462,128.907252,35.14857544,0,BM752,128.9055277,35.14867262,0,3500_1800,,,,
BM463,128.9072273,35.1485425,0,BM753,128.9055029,35.14863969,0,3500_1800,,,,
BM47,128.9104492,35.14846338,0,BM482,128.9092065,35.14853345,0,3000_1800,,,,
BM471,128.9104686,35.14843247,0,BM481,128.9091822,35.14850501,0,3000_1800,,,,
BM472,128.9104864,35.14838268,0,BM48,128.9091562,35.14845769,0,3000_1800,,,,
BM48,128.9091562,35.14845769,0,BM45,128.9089352,35.1484462,0,3000_1800,,,,
BM481,128.9091822,35.14850501,0,BM451,128.9089181,35.14850499,0,3000_1800,,,,
BM482,128.9092065,35.14853345,0,BM452,128.908902,35.14857457,0,3000_1800,,,,
BM49,128.9061384,35.15282312,0,BM49_1,128.9060458,35.15171461,0,2000_1800,,,,
BM49_1,128.9060458,35.15171461,0,BM49_2,128.9060317,35.15170454,0,2000_1800,,,,
BM49_2,128.9060317,35.15170454,0,BM49_3,128.9060162,35.15169343,0,2000_1800,,,,
BM5,128.9098625,35.13413864,0.26,BM4,128.9090415,35.13418494,0.22,1500_1800,,,,
BM50,128.9062751,35.15445885,0,BM49,128.9061384,35.15282312,0,1500_1800,,,,
BM51,128.9095206,35.15281758,0,BM51_1,128.9094084,35.15147446,0,2000_1800,,,,
BM5-1,128.9176701,35.15949418,0,BM5-1_1,128.9192773,35.15909814,0,2000_1800,,,,
BM51_1,128.9094084,35.15147446,0,BM51_2,128.9093943,35.15146439,0,2000_1800,,,,
BM5-1_1,128.9192773,35.15909814,0,BM5-1_2,128.9192859,35.15908454,0,2000_1800,,,,
BM51_2,128.9093943,35.15146439,0,BM51_3,128.9093788,35.15145328,0,2000_1800,,,,
BM5-1_2,128.9192859,35.15908454,0,BM5-1_3,128.9192953,35.1590697,0,2000_1800,,,,
BM52,128.909642,35.15426904,0,BM51,128.9095206,35.15281758,0,2000_1800,,,,
BM53,128.9101402,35.15424096,0,BM52,128.909642,35.15426904,0,2000_1800,,,,
BM54,128.9109011,35.15419804,0,BM53,128.9101402,35.15424096,0,2000_1800,,,,
BM55,128.9128491,35.15408817,0,BM54,128.9109011,35.15419804,0,1500_1800,,,,
BM56,128.9106107,35.15138246,0,BM56_1,128.90949,35.15144565,0,1500_1800,,,,
BM56_1,128.90949,35.15144565,0,BM56_2,128.9094318,35.15143629,0,1500_1800,,,,
BM56_2,128.9094318,35.15143629,0,BM56_3,128.9094086,35.1514376,0,1500_1800,,,,
BM56_3,128.9094086,35.1514376,0,BM58,128.9091857,35.15144294,0,2500_1800,,,,
