startNo,startX,startY,startZ,stopno,stopX,stopY,stopZ,diameter,,,,
M1-23,128.9065978,35.1396858,1.12,BM17-1,128.9066346,35.14013214,0.52,600,,,,
M1-23-1,128.9128985,35.1352762,1.81,M2-14-1,128.9128726,35.13496628,1.64,450,,,,
M1-24,128.9066571,35.14040191,1.78,BM17-1,128.9066346,35.14013214,1.72,450,,,,
M1-24-1,128.9128217,35.13534861,1.86,M2-2,128.9123665,35.1353743,1.51,450,,,,
M1-25,128.9066719,35.14057844,1.79,M2-8,128.9060525,35.14061336,1.59,500,,,,
M1-25-1,128.9115954,35.13503834,1.95,SM2-2,128.9123349,35.13499661,1.38,450,,,,
M1-26,128.9066947,35.14085154,1.93,M1-25,128.9066719,35.14057844,1.86,450,,,,
M1-26-1,128.912494,35.13498763,1.83,M2-14-1,128.9128726,35.13496628,1.64,450,,,,
M1-27,128.9067046,35.14097052,1.91,M2-9,128.9059942,35.14101056,1.7,500,,,,
M1-27-1,128.9124632,35.13461895,1.81,M2-13-1,128.9128418,35.13459759,1.31,450,,,,
M1-28,128.9067247,35.14121123,2.02,M1-27,128.9067046,35.14097052,1.96,450,,,,
M1-28-1,128.9118762,35.13465207,1.63,SM2-1,128.9123041,35.13462792,1.24,450,,,,
M1-29,128.9067374,35.14136259,1.82,M2-10,128.9059493,35.14140701,1.54,500,,,,
M1-29-1,128.9115646,35.13466965,1.91,M1-28-1,128.9118762,35.13465207,1.63,450,,,,
M1-3,128.9114528,35.13627603,2.32,M1-4,128.9118907,35.13625132,2.2,450,,,,
M1-30,128.9067548,35.14157093,1.92,M1-29,128.9067374,35.14136259,1.87,450,,,,
M1-30-1,128.9118667,35.13453935,1.93,SM2-13-1,128.9118245,35.13403442,1.23,450,,,,
M1-31,128.9090339,35.13226438,3.09,M2-15-1,128.9092428,35.13226093,2.71,450,,,,
M1-32,128.9079187,35.13673284,1.67,M2-11,128.9073893,35.13676269,1.58,500,,,,
M1-32-1,128.9102194,35.13274707,2.6,M1-61,128.9105902,35.13302457,2.38,450,,,,
M1-33,128.9079342,35.13653819,1.78,M1-32,128.9079187,35.13673284,1.72,450,,,,
M1-33-1,128.91091,35.133264,2.14,M1-62-1,128.9109405,35.13362874,1.82,500,,,,
M1-34,128.9079498,35.13634259,1.59,M2-12,128.9073695,35.13637531,1.49,500,,,,
M1-34-1,128.9096169,35.13229605,2.88,M1-37-1,128.9101178,35.13267096,2.42,450,,,,
M1-35,128.9079629,35.13617841,1.68,M1-34,128.9079498,35.13634259,1.64,450,,,,
M1-35-1,128.9094906,35.13225686,2.91,M2-15-1,128.9092428,35.13226093,2.71,450,,,,
M1-36,128.9067246,35.13626292,1.52,SM2-21,128.9067127,35.13641234,1.45,450,,,,
M1-36-1,128.9097339,35.13293522,2.72,M2-17-1,128.9091866,35.13296609,1.72,450,,,,
M1-37,128.9068459,35.13544311,1.43,M2-13,128.9067651,35.13590343,1.28,450,,,,
M1-37-1,128.9101178,35.13267096,2.42,M1-22-2,128.9098307,35.13292977,2.13,450,,,,
M1-38,128.9072821,35.13551871,1.5,M2-14,128.9072334,35.13587703,1.4,450,,,,
M1-38-1,128.9097981,35.13257021,2.6,M2-16-1,128.9092156,35.13260307,2.33,450,,,,
M1-39,128.9077032,35.13585054,1.45,M2-14,128.9072334,35.13587703,1.35,500,,,,
M1-39-1,128.9089736,35.13297811,1.76,M2-17-1,128.9091866,35.13296609,1.72,450,,,,
M1-4,128.9118907,35.13625132,2.2,SM4-2,128.9124355,35.13622058,2.06,450,,,,
M1-40,128.9077318,35.13549078,1.8,M1-39,128.9077031,35.13585055,1.7,450,,,,
M1-400,128.9060604,35.1397161,1.69,M2-991,128.9055715,35.13974365,1.59,500,,,,
M1-40-1,128.910519,35.13384864,1.54,SM3-1,128.91054,35.13410043,1.26,450,,,,
M1-41,128.9073943,35.13612094,0.93,SM2-22,128.9067345,35.13615814,0.83,500,,,,
M1-4-1,128.9098152,35.13439429,1.77,SM3-2,128.9090694,35.13443635,1.43,450,,,,
M1-41-1,128.9104648,35.13320118,2.34,M1-42-1,128.9104889,35.13348894,1.94,450,,,,
M1-42,128.9080203,35.13545886,2,M2-15,128.9079701,35.13608847,1.56,500,,,,
M1-42-1,128.9104889,35.13348894,1.94,M1-40-1,128.910519,35.13384864,1.54,450,,,,
M1-43,128.9082372,35.13607341,1.15,M2-15,128.9079701,35.13608847,1.1,450,,,,
M1-43-1,128.910357,35.13313499,2.39,M2-18-1,128.9098502,35.13316357,1.93,450,,,,
M1-44,128.9083139,35.13508617,1.7,SM2-25,128.9080511,35.13507203,1.65,450,,,,
M1-44-1,128.909713,35.13317131,2.49,SM2-10-1,128.9091678,35.13320206,1.59,450,,,,
M1-45,128.9083361,35.13480734,1.68,SM2-26,128.9080733,35.13479321,1.61,450,,,,
M1-46,128.9083848,35.13422198,1.57,M2-16,128.9081177,35.13423704,1.37,450,,,,
M1-46-1,128.9097431,35.13353101,2.26,SM2-11-1,128.9091389,35.13356508,1.43,450,,,,
M1-47,128.9076876,35.13403103,1.66,M2-17,128.9076714,35.13340022,1.53,500,,,,
M1-47-1,128.9103517,35.13349668,2.21,M2-19-1,128.9098803,35.13352327,1.65,450,,,,
M1-48,128.907907,35.13402722,1.75,M1-47,128.9076876,35.13403103,1.71,450,,,,
M1-48-1,128.9103817,35.13385638,2.11,SM2-12,128.9099104,35.13388297,1.49,450,,,,
M1-49,128.9079553,35.1333953,1.64,M2-17,128.9076714,35.13340022,1.58,450,,,,
M1-49-1,128.9097667,35.13389107,1.93,SM3-4,128.9091099,35.13392811,1.33,450,,,,
M1-5,128.9115556,35.13721889,2.55,M1-6,128.9119935,35.13719418,2.41,600,,,,
M1-50,128.9084476,35.13340857,1.8,SM2-29,128.9081849,35.13339443,1.73,450,,,,
M1-500,128.9064983,35.13969142,1.84,M1-400,128.9060604,35.1397161,1.74,450,,,,
M1-50-1,128.9193472,35.13848724,1.88,M1-64-1,128.9192644,35.13854777,1.76,450,,,,
M1-51,128.9084817,35.13300585,1.64,SM3-6,128.9082146,35.13302091,1.59,450,,,,
M1-5-1,128.9106701,35.13434607,2.05,SM2-5,128.9099525,35.13438654,1.24,450,,,,
M1-51-1,128.9183766,35.13685434,1.9,M2-24-1,128.9185108,35.13676549,1.47,450,,,,
M1-52,128.908229,35.13284102,1.64,SM3-6,128.9082146,35.13302091,1.59,450,,,,
M1-52-1,128.9136031,35.14138644,2.09,M1-68-1,128.9130606,35.14142736,1.76,500,,,,
M1-53,128.9076222,35.13229631,2.27,M2-19,128.9076209,35.13265685,2.19,450,,,,
M1-53-1,128.9111898,35.13536117,2.35,M1-59-1,128.9111371,35.13473171,1.93,450,,,,
M1-54,128.9082465,35.13262158,1.88,M2-19,128.9076209,35.13265685,1.78,500,,,,
M1-54-1,128.9112201,35.13572447,2.33,M1-17-1,128.9111964,35.13544031,2.08,450,,,,
M1-55,128.9082577,35.13248124,2.01,M1-54,128.9082465,35.13262158,1.97,450,,,,
M1-55-1,128.9194578,35.13808562,2.7,M1-65-1,128.9194095,35.13798299,2.56,600,,,,
M1-56,128.9073437,35.13206664,1.85,M2-20,128.9071613,35.13223726,1.78,500,,,,
M1-56-1,128.9144432,35.13572404,2.9,M1-63,128.9140049,35.1357432,2.4,500,,,,
M1-57,128.9077543,35.13216647,1.97,M1-56,128.9073437,35.13206664,1.85,500,,,,
M1-57-1,128.9171185,35.13607844,2.49,M2-25,128.9173093,35.1359401,2.22,800,,,,
M1-58,128.9085038,35.1322761,2.26,M1-57,128.9077543,35.13216647,2.02,450,,,,
M1-58-1,128.911092,35.13419216,1.57,M2-42-1,128.9109779,35.13407573,1.47,450,,,,
M1-59,128.9086862,35.13220844,3.48,M2-21,128.908636,35.13283804,1.7,450,,,,
M1-59-1,128.9111372,35.13473171,1.93,M1-58-1,128.911092,35.13419216,1.57,450,,,,
M1-6,128.9119935,35.13719419,2.41,SM3-8,128.9125145,35.13716479,2.25,600,,,,
M1-60,128.9087364,35.13157884,4.79,M1-59,128.9086862,35.13220844,3.5,450,,,,
M1-60-1,128.9094477,35.13515949,1.92,SM2-8,128.9090098,35.13518418,1.72,450,,,,
M1-61,128.9105902,35.13302457,2.38,M1-33-1,128.91091,35.133264,2.19,450,,,,
M1-6-1,128.9100697,35.13578937,1.89,M2-3,128.910046,35.13550521,1.61,450,,,,
M1-62,128.9113435,35.13723085,2.05,SM4-8,128.9105225,35.13727717,1.74,500,,,,
M1-62-1,128.9109405,35.13362874,1.82,M2-42-1,128.9109779,35.13407573,1.42,500,,,,
M1-63,128.9140049,35.1357432,2.4,M1-10,128.9136912,35.1357571,2.05,500,,,,
M1-64,128.9097568,35.13995609,2.27,M2-26,128.9090888,35.13999376,1.43,500,,,,
M1-64-1,128.9192644,35.13854778,1.76,SM2-15,128.9189647,35.13868727,1.4,450,,,,
M1-65,128.9100601,35.14020388,2.54,M1-64,128.9097568,35.13995609,2.32,450,,,,
M1-65-1,128.9194095,35.13798299,2.56,M1-66-1,128.9191981,35.13766704,2.19,600,,,,
M1-66,128.9096669,35.14161879,1.98,M1-67,128.9091196,35.14164966,1.47,500,,,,
M1-66-1,128.9191981,35.13766704,2.19,M1-67-1,128.9188604,35.13720283,1.64,600,,,,
M1-67,128.9091196,35.14164966,1.47,BM11,128.9085897,35.14167954,0.98,500,,,,
M1-67-1,128.9188604,35.13720283,1.64,M2-24-1,128.9185108,35.13676549,1.1,600,,,,
M1-68,128.9096775,35.14174469,2.83,M1-69,128.9088564,35.14179099,1.92,400,,,,
M1-68-1,128.9130606,35.14142736,1.76,M1-86,128.9125748,35.14145477,1.4,500,,,,
M1-69,128.9088564,35.141791,1.92,SM3-16,128.9086002,35.14180544,1.63,450,,,,
M1-7,128.9130275,35.13774583,2.73,SM2-11,128.9127284,35.13750147,2.6,500,,,,
M1-70,128.9094956,35.13654454,1.84,M2-31,128.9094824,35.13638717,1.76,450,,,,
M1-71,128.9103034,35.13634086,1.99,M2-31,128.9094824,35.13638717,1.7,500,,,,
M1-7-1,128.9098464,35.13476657,1.92,SM2-9-1,128.9090395,35.13481208,1.55,450,,,,
M1-72,128.9111244,35.13629455,2.2,M1-71,128.9103034,35.13634086,2.05,450,,,,
M1-73,128.9110833,35.13591289,2.07,M2-32,128.9102623,35.1359592,1.84,500,,,,
M1-74,128.9088323,35.13230662,2.37,M2-34,128.9087547,35.13293621,0.87,500,,,,
M1-75,128.9088825,35.13167702,3.92,M1-74,128.9088323,35.13230663,2.42,450,,,,
M1-77,128.9113624,35.14438716,1.98,SM3-20,128.9114037,35.14488174,1.64,450,,,,
M1-78,128.911321,35.14389257,2.32,M1-77,128.9113624,35.14438716,1.98,450,,,,
M1-79,128.9112834,35.14344295,2.63,M1-78,128.911321,35.14389257,2.32,450,,,,
M1-8,128.9141932,35.13674466,3.2,M2-1,128.9137998,35.13620343,2.01,500,,,,
M1-80,128.910402,35.14493824,2.9,SM3-21,128.9107852,35.14491663,1.97,450,,,,
M1-81,128.9109912,35.14320417,2.57,M1-82,128.9114291,35.14317947,1.94,500,,,,
M1-8-1,128.9107012,35.13471835,2.18,SM2-7,128.9099836,35.13475883,1.41,450,,,,
M1-82,128.9114291,35.14317947,1.94,M1-82_1,128.9118564,35.14315537,1.27,500,,,,
M1-83,128.9101154,35.14171999,2.91,M2-38,128.9107722,35.14168295,2.37,450,,,,
M1-84,128.9101048,35.1415941,2.91,SM3-23,128.9107245,35.14155915,1.92,450,,,,
M1-85,128.9103713,35.14045811,2.99,SM2-48,128.9106516,35.14068702,2.49,450,,,,
M1-86,128.9125748,35.14145477,1.4,BM30,128.9124724,35.14146055,1.33,500,,,,
M1-87,128.9121004,35.14011821,2.25,M2-42,128.9124116,35.14037245,1.93,600,,,,
M1-88,128.911439,35.13957798,2.98,M2-43,128.9117182,35.13980599,2.8,450,,,,
M1-89,128.9121531,35.13944674,2.92,M2-43,128.9117182,35.13980599,2.75,500,,,,
M1-9,128.9142901,35.13768141,2.54,M2-44,128.9139806,35.13793707,2.27,600,,,,
M1-90,128.9135456,35.13927594,2.21,BM39,128.9139347,35.13959372,1.72,450,,,,
M1-91,128.9131566,35.13895815,2.8,M1-90,128.9135456,35.13927594,2.26,450,,,,
M1-9-1,128.9109246,35.13574115,1.77,M2-4-1,128.9108734,35.13545696,1.7,450,,,,
M1-92,128.9133387,35.13800005,2.39,SM2-51,128.9136231,35.13823237,2.17,450,,,,
M1-93,128.9145996,35.13742575,2.81,M1-9,128.9142901,35.13768141,2.55,600,,,,
M1-94,128.9144951,35.13706544,3.08,M1-95,128.9149117,35.13742379,2.45,450,,,,
M1-95,128.9149117,35.13742378,2.45,BM41,128.9153825,35.13774511,1.82,450,,,,
M1-98,128.9103256,35.14698547,0,M2-49,128.9103677,35.14748904,0,500,,,,
M1-99,128.9102728,35.14635306,0,SM3-26,128.9103028,35.14671276,0,450,,,,
M1-991,128.9057474,35.1389459,1.46,M2-992,128.9056487,35.13934539,1.36,450,,,,
M1-992,128.9057741,35.13885444,1.43,M2-993,128.9058629,35.13852492,1.33,450,,,,
M1-993,128.9065738,35.13826889,1.45,M2-5,128.9065954,35.13788792,1.3,500,,,,
M1-994,128.9064787,35.13890468,1.66,M1-991,128.9057474,35.1389459,1.46,450,,,,
M1-995,128.908354,35.13856817,1.48,M2-997,128.9083768,35.13803188,1.18,450,,,,
M2-1,128.9137998,35.13620344,1.91,BM78,128.9135417,35.13570628,1.06,600,,,,
M2-10,128.9059493,35.14140701,1.44,SM4-4,128.9052924,35.14144403,1.24,600,,,,
M2-10-1,128.9114274,35.13467739,1.21,SM2-3,128.9113752,35.13405332,1.09,600,,,,
M2-11,128.9073893,35.13676269,1.48,SM2-20,128.9066816,35.13680259,1.2,600,,,,
M2-11-1,128.9114898,35.13542376,1.53,M1-19-1,128.9114582,35.13504608,1.44,450,,,,
M2-12,128.9073695,35.1363753,1.39,SM2-21,128.9067127,35.13641233,1.3,600,,,,
M2-12-1,128.9118734,35.13540212,1.6,M2-2,128.9123665,35.1353743,1.51,450,,,,
M2-13,128.9067652,35.13590343,0.93,SM2-22,128.9067345,35.13615814,0.83,600,,,,
M2-13-1,128.9128418,35.13459759,1.16,SM4-1-1,128.912822,35.13436097,1.08,600,,,,
M2-14,128.9072334,35.13587703,1.35,M2-13,128.9067651,35.13590343,1.23,500,,,,
M2-14-1,128.9128726,35.13496627,1.64,M2-13-1,128.9128418,35.13459759,1.31,450,,,,
M2-15,128.9079701,35.13608847,1.05,M1-41,128.9073943,35.13612094,0.93,500,,,,
M2-15-1,128.9092428,35.13226094,2.71,M2-16-1,128.9092155,35.13260306,2.33,450,,,,
M2-16,128.9081177,35.13423704,1.37,SM2-26,128.9080733,35.13479321,1.28,600,,,,
M2-16-1,128.9092155,35.13260306,2.28,M2-17-1,128.9091866,35.13296609,1.67,500,,,,
M2-17,128.9076714,35.13340022,1.47,SM4-5,128.906968,35.13341242,1.27,600,,,,
M2-17-1,128.9091866,35.13296609,1.57,SM2-10-1,128.9091678,35.13320206,1.44,600,,,,
M2-18,128.908132,35.13405716,1.68,SM2-29,128.9081849,35.13339443,1.58,600,,,,
M2-18-1,128.9098502,35.13316357,1.88,M2-19-1,128.9098803,35.13352327,1.6,500,,,,
M2-19,128.9076209,35.13265685,1.67,SM2-30,128.9071065,35.13268585,1.6,600,,,,
M2-19-1,128.9098803,35.13352327,1.5,SM2-12,128.9099104,35.13388297,1.34,600,,,,
M2-2,128.9123665,35.1353743,1.36,SM2-2,128.9123349,35.13499661,1.23,600,,,,
M2-20,128.9071613,35.13223727,1.67,SM2-30,128.9071065,35.13268585,1.56,600,,,,
M2-20-1,128.9180458,35.13707379,1.6,M2-23,128.9179015,35.13717529,1.55,700,,,,
M2-21,128.9086361,35.13283805,1.47,M2-211,128.9086143,35.13311141,1.38,700,,,,
M2-2-1,128.9199195,35.15889668,0,SM2-8-1,128.9194213,35.15905304,0,600,,,,
M2-211,128.9086143,35.13311141,1.38,SM2-35,128.9085859,35.13346765,1.26,700,,,,
M2-21-1,128.9136213,35.14151173,1.89,M2-40-1,128.9130712,35.14155325,1.49,800,,,,
M2-22,128.9095144,35.13676935,1.42,SM4-7,128.9095852,35.13733003,1.3,700,,,,
M2-22-1,128.9140896,35.14825937,0,M2-41-1,128.9132138,35.14830879,0,700,,,,
M2-23,128.9179015,35.13717529,1.55,M2-34-1,128.9183173,35.13770727,1.36,700,,,,
M2-23-1,128.9064352,35.15637514,0,M2-76,128.906469,35.1567798,0,600,,,,
M2-24,128.9113357,35.13865191,2.34,SM2-43,128.9108234,35.13907507,2.19,600,,,,
M2-24-1,128.9185108,35.13676558,0.81,M2-36-1,128.9185752,35.13669257,0.73,700,,,,
M2-25,128.9173093,35.1359401,2,M2-32-1,128.9170542,35.13574362,1.79,800,,,,
M2-25-1,128.9110064,35.15545698,0,M2-70,128.9109738,35.15506761,0,600,,,,
M2-26,128.9090888,35.13999377,1.32,BM14,128.908419,35.14003154,0.77,600,,,,
M2-26-1,128.9147844,35.13573904,2.7,M2-29-1,128.9153194,35.13575517,2.33,700,,,,
M2-27,128.908769,35.14382514,1.53,SM3-18,128.9087278,35.14333181,1.45,600,,,,
M2-27-1,128.9160473,35.13542496,0.78,SM2-23-1,128.916006,35.13536132,0.72,1000,,,,
M2-28,128.9088141,35.14436469,1.62,M2-27,128.908769,35.14382514,1.53,600,,,,
M2-28-1,128.9094854,35.13553682,1.79,M2-8-1,128.9089794,35.13556535,1.7,600,,,,
M2-29,128.9094373,35.14392424,1.87,M2-95,128.909396,35.14343065,1.67,800,,,,
M2-29-1,128.9153194,35.13575517,2.33,SM2-18-1,128.9160714,35.13571271,1.82,700,,,,
M2-3,128.910046,35.13550521,1.46,SM2-6,128.9100144,35.13512752,1.36,600,,,,
M2-30,128.9094824,35.1444638,2.16,M2-29,128.9094373,35.14392424,1.97,700,,,,
M2-30-1,128.916633,35.13568101,1.53,SM2-18-1,128.9160714,35.13571271,1.2,800,,,,
M2-31,128.9094824,35.13638717,1.6,SM2-44,128.9094505,35.13600498,1.39,600,,,,
M2-3-1,128.9203809,35.1587519,0,M2-2-1,128.9199195,35.15889668,0,600,,,,
M2-31-1,128.9168519,35.135678,1.66,M2-30-1,128.916633,35.13568101,1.53,800,,,,
M2-32,128.9102623,35.1359592,1.74,SM2-44,128.9094505,35.13600498,1.4,600,,,,
M2-32-1,128.9170542,35.13574362,1.79,M2-31-1,128.9168519,35.135678,1.66,800,,,,
M2-33,128.908732,35.13356584,0.57,BM28,128.908681,35.13420528,0.31,600,,,,
M2-33-1,128.9186452,35.13817618,1.19,SM2-15,128.9189647,35.13868727,1.01,1200,,,,
M2-34,128.9087822,35.13293623,0.76,M2-33,128.908732,35.13356584,0.57,600,,,,
M2-34-1,128.9183173,35.13770727,1.36,M2-33-1,128.9186452,35.13817618,1.19,900,,,,
M2-35,128.9106949,35.14383754,2.33,SM2-45,128.91074,35.14437708,1.84,700,,,,
M2-36,128.9106418,35.14320129,2.54,M2-35,128.9106949,35.14383754,2.33,600,,,,
M2-36-1,128.9185752,35.13669257,0.73,M2-37-1,128.9186395,35.13661956,0.66,700,,,,
M2-37,128.9114291,35.14164589,1.79,SM2-46,128.9120859,35.14160884,1.31,700,,,,
M2-37-1,128.9186395,35.13661956,0.66,M2-37-1_하천,128.9187683,35.13647355,0.51,700,,,,
M2-38,128.9107722,35.14168294,2.22,M2-37,128.9114291,35.14164589,1.89,600,,,,
M2-39,128.9124711,35.14158711,0.89,BM36,128.9123688,35.14159288,0.85,1000,,,,
M2-39-1,128.9159545,35.13528177,0.66,M2-39-1_하천,128.9156875,35.13487021,0.29,1000,,,,
M2-4,128.9066077,35.13772882,1.38,SM2-13,128.9066468,35.13723822,1.26,600,,,,
M2-40,128.9110992,35.1403173,2.57,SM2-48,128.9106516,35.14068702,2.25,700,,,,
M2-40-1,128.9130712,35.14155325,1.38,M2-39,128.9124711,35.14158711,0.89,1000,,,,
M2-41,128.9115634,35.13993382,2.73,M2-40,128.9110992,35.1403173,2.64,600,,,,
M2-4-1,128.9108734,35.13545696,1.7,M1-10-1,128.9108693,35.1350793,1.57,450,,,,
M2-41-1,128.9132138,35.14830879,0,M2-47,128.9124056,35.14835438,0,700,,,,
M2-42,128.9124116,35.14037244,1.73,BM37,128.9129685,35.14082728,1.3,800,,,,
M2-42-1,128.9109779,35.13407573,1.42,SM2-4,128.9107863,35.13408653,1.25,500,,,,
M2-43,128.9117182,35.13980599,2.65,M1-87,128.9121004,35.14011821,2.25,600,,,,
M2-44,128.9139806,35.13793707,2.27,SM2-51,128.9136231,35.13823238,2.02,600,,,,
M2-45,128.915459,35.13779197,1.03,BM41,128.9153825,35.13774511,1,1350,,,,
M2-47,128.9124056,35.14835438,0,M2-47_1,128.9123263,35.14834845,0,600,,,,
M2-48,128.9104083,35.14797464,0,M2-48_1,128.9104421,35.1483784,0,600,,,,
M2-49,128.9103677,35.14748904,0,M2-48,128.9104083,35.14797464,0,600,,,,
M2-5,128.9065954,35.13788792,1.2,SM2-993,128.9059847,35.1378582,0.99,600,,,,
M2-50,128.9117535,35.14663094,0,SM2-54,128.9110966,35.14666799,0,600,,,,
M2-51,128.9095261,35.14498764,2.29,SM2-56,128.9088693,35.14502468,1.59,600,,,,
M2-5-1,128.9108384,35.13471061,1.3,M2-6,128.9108073,35.13433832,1.23,600,,,,
M2-52,128.9093928,35.15128887,1,SM2-59,128.9093553,35.15083924,0,600,,,,
M2-53,128.9091739,35.15130122,0,SM2-62,128.9091363,35.15085159,0,600,,,,
M2-54,128.9059731,35.15084478,0,SM2-63,128.9059281,35.15030524,0,700,,,,
M2-55,128.9060258,35.15147487,0,M2-54,128.9059731,35.15084478,0,600,,,,
M2-56,128.90509,35.15093977,0,SM2-66,128.9047235,35.15096043,0,600,,,,
M2-57,128.9055718,35.15091263,0,M2-56,128.90509,35.15093977,0,500,,,,
M2-58,128.9056875,35.15216595,0,M1-117,128.9052743,35.15218924,0,450,,,,
M2-59,128.9057198,35.15255263,0,M1-120,128.9053475,35.15257361,0,450,,,,
M2-6,128.9108073,35.13433832,1.23,SM2-4,128.9107863,35.13408653,1.15,600,,,,
M2-60,128.9057521,35.15293931,0,M1-123,128.9053655,35.15296109,0,450,,,,
M2-61,128.9057852,35.15333498,0,SM4-13,128.904984,35.15338012,0,450,,,,
M2-62,128.9058182,35.15373064,0,SM3-32,128.905036,35.15377472,0,450,,,,
M2-63,128.9058513,35.15412631,0,SM3-33,128.9051044,35.1541684,0,450,,,,
M2-64,128.9058809,35.15448107,0,SM3-34,128.9051672,35.15452128,0,450,,,,
M2-65,128.905326,35.15531394,0,SM2-67,128.9052284,35.15492192,0,700,,,,
M2-66,128.9054098,35.15570675,0,M2-65,128.905326,35.15531394,0,600,,,,
M2-67,128.9063488,35.15534101,0,SM2-68,128.9063112,35.15489138,0,600,,,,
M2-68,128.9132397,35.15682598,0,M2-68-1,128.9132443,35.15688158,0,600,,,,
M2-69,128.9094783,35.15494315,0,SM2-71,128.909423,35.1542814,0,600,,,,
M2-7,128.9099233,35.13551213,1.87,M2-28-1,128.9094854,35.13553682,1.79,600,,,,
M2-70,128.9109738,35.15506761,0,SM2-72,128.9109368,35.15462518,0,600,,,,
M2-71,128.9131684,35.15244723,0,SM2-79,128.9133134,35.15191969,0,600,,,,
M2-72,128.9065442,35.15767905,0,M2-72_1,128.9065442,35.15730406,0,600,,,,
M2-73,128.9055217,35.15692918,0,M2-73_1,128.9055576,35.15730458,0,500,,,,
M2-74,128.9054781,35.1565341,0,M2-73,128.9055217,35.15692918,0,500,,,,
M2-75,128.9054318,35.15613918,0,M2-74,128.9054781,35.1565341,0,450,,,,
M2-76,128.906469,35.1567798,0,M2-76_1,128.9065084,35.157251,0,600,,,,
M2-77,128.909071,35.1566503,0,M2-77-1,128.9091089,35.15710441,0,600,,,,
M2-78,128.9090334,35.15620067,0,M2-77,128.909071,35.1566503,0,600,,,,
M2-79,128.9097076,35.15768584,0,M2-79_1,128.9096605,35.1571221,0,700,,,,
M2-8,128.9060525,35.14061336,1.49,BM25,128.9053956,35.14065038,1.1,600,,,,
M2-80,128.9097452,35.15813546,0,M2-79,128.9097076,35.15768584,0,600,,,,
M2-81,128.9099266,35.15767349,0,M2-81_1,128.9098794,35.15710976,0,700,,,,
M2-8-1,128.9089794,35.13556535,1.7,SM2-8,128.9090098,35.13518418,1.57,600,,,,
M2-82,128.9099642,35.15812311,0,M2-81,128.9099266,35.15767349,0,600,,,,
M2-83,128.9110515,35.15599653,0,SM2-80,128.9111003,35.15658059,0,600,,,,
M2-84,128.9130661,35.15623168,0,M2-68,128.9132397,35.15682598,0,600,,,,
M2-85,128.9139075,35.15870104,0,SM2-81,128.9137564,35.15817485,0,600,,,,
M2-86,128.9066644,35.15911783,0,SM2-84,128.9067015,35.15956217,0,700,,,,
M2-87,128.9066343,35.15875813,0,M2-86,128.9066644,35.15911783,0,600,,,,
M2-88,128.9063292,35.15958315,0,SM2-84,128.9067015,35.15956217,0,600,,,,
M2-89,128.9098467,35.15934944,0,BM71,128.9099035,35.15998931,0,600,,,,
M2-9,128.9059942,35.14101056,1.6,SM4-3,128.9053374,35.14104758,1.26,600,,,,
M2-90,128.9100619,35.15929213,0,SM4-14,128.9101174,35.15995647,0,600,,,,
M2-91,128.9140235,35.15973616,0,SM2-87,128.9132931,35.15977736,0,700,,,,
M2-9-1,128.9105172,35.13547862,0,M2-3,128.910046,35.13550521,0,500,,,,
M2-92,128.9140055,35.15932651,0,M2-91,128.9140235,35.15973616,0,600,,,,
M2-93,128.9139522,35.15892334,0,M2-92,128.9140055,35.15932651,0,600,,,,
M2-94,128.9120778,35.13803884,2.7,SM2-38,128.9114799,35.13853277,2.44,700,,,,
M2-95,128.909396,35.14343065,1.67,SM3-19,128.9093847,35.14329477,1.61,800,,,,
M2-991,128.9055715,35.13974365,0.96,BM24,128.9054795,35.14019724,0.46,900,,,,
M2-992,128.9056487,35.13934539,1.21,M2-991,128.9055715,35.13974365,1.11,600,,,,
M2-993,128.9058629,35.13852491,1.17,SM2-993,128.9059847,35.1378582,0.97,600,,,,
M2-996,128.9081984,35.13877885,1.84,M2-998,128.9082216,35.13945541,1.54,600,,,,
M2-997,128.9083768,35.13803188,1.02,BM12,128.9084272,35.13738913,0.72,600,,,,
M2-998,128.9082216,35.13945541,1.54,BM17,128.9082657,35.14004018,1.28,600,,,,
M2-999,128.9082,35.13859866,1.84,M2-999-1,128.9082378,35.13783411,1.34,600,,,,
M2-999-1,128.9082378,35.13783411,1.14,SM2-992,128.9082887,35.137195,0.64,800,,,,
SM2-1,128.9123041,35.13462793,0.89,SM3-3,128.9122609,35.13411116,0.73,800,,,,
SM2-10,128.9125666,35.13736027,2.23,SM3-8,128.9125145,35.13716479,2.15,800,,,,
SM2-100,128.9107671,35.14470095,1.6,SM3-21,128.9107852,35.14491663,1.47,800,,,,
SM2-101,128.9105865,35.13746689,0,SM4-8,128.9105225,35.13727716,0,1000,,,,
SM2-10-1,128.9091678,35.13320206,1.34,SM2-11-1,128.9091389,35.13356509,1.18,700,,,,
SM2-102,128.9106782,35.13919568,2.27,SM2-43,128.9108234,35.13907507,2.24,800,,,,
SM2-11,128.9127284,35.13750147,2.3,SM2-10,128.9125666,35.13736027,2.23,800,,,,
SM2-1-1,128.9137004,35.16155548,0,SM2-2-1,128.913854,35.16098334,0,800,,,,
SM2-11-1,128.9091389,35.13356509,0.98,SM3-4,128.9091099,35.13392811,0.88,900,,,,
SM2-12,128.9099104,35.13388297,1.24,SM2-12_1,128.9099314,35.13413475,1.16,700,,,,
SM2-12-1,128.9143947,35.15979653,0,SM3-9,128.9150517,35.15975946,0,800,,,,
